gratis 	 adjective 	 charge 	 free, without charge
escuela 	 noun 	 school 	 school
ron 	 noun 	 rum 	 rum
disponible 	 adjective 	 available 	 available
peine 	 noun 	 comb 	 comb
bacalao 	 noun 	 cod 	 cod
botones 	 noun 	 buttons 	 nodot=y, "buttons&quot
botones 	 noun 	 bellboy 	 bellboy
tricolor 	 noun 	 tricolour 	 tricolour
nota 	 noun 	 note 	 note, memo
nota 	 noun 	 memo 	 note, memo
nota 	 noun 	 note 	 note
nota 	 noun 	 score 	 mark, academic score
nota 	 noun 	 mark 	 mark, academic score
selector 	 adjective 	 selecting 	 selecting
tularemia 	 noun 	 tularemia 	 tularemia
senda 	 noun 	 footpath 	 footpath
sumar 	 verb 	 add 	 to add, to add up
sumar 	 verb 	 add up 	 to add, to add up
sumar 	 verb 	 add 	 to add
sumar 	 verb 	 join up 	 to join up
ganga 	 noun 	 bargain 	 bargain
ganga 	 noun 	 sandgrouse 	 sandgrouse
ganga 	 noun 	 gang 	 gang
ganga 	 noun 	 gangue 	 gangue
falla 	 noun 	 flaw 	 flaw
falla 	 noun 	 failure 	 failure
falla 	 noun 	 outage 	 outage, such as a blackout
falla 	 noun 	 fault 	 fault
roble 	 noun 	 oak 	 oak
roble 	 noun 	 person 	 strong object or person
roble 	 noun 	 strong 	 strong object or person
roble 	 noun 	 strength 	 strength
camino 	 noun 	 route 	 way, route
camino 	 noun 	 way 	 way, route
camino 	 noun 	 road 	 road
camino 	 noun 	 path 	 path
machete 	 noun 	 method 	 mediocre method for obtaining somewhat accurate results; shortcut
machete 	 noun 	 shortcut 	 mediocre method for obtaining somewhat accurate results; shortcut
amuzgo 	 adjective 	 Amuzgo 	 Amuzgo
amuzgo 	 noun 	 Amuzgo 	 Amuzgo; An indigenous language of Mexico with about 30,000 speakers, mostly in Oaxaca state
amuzgo 	 noun 	 Amuzgo 	 Amuzgo
tutor 	 noun 	 guardian 	 guardian
toque 	 noun 	 whiff 	 whiff
toque 	 noun 	 touch 	 touch
toque 	 noun 	 stroke 	 stroke
toque 	 noun 	 toke 	 toke
tía 	 noun 	 parent 	 tío; aunt; the sister of either parent
tía 	 noun 	 aunt 	 tío; aunt; the sister of either parent
tía 	 noun 	 sister 	 tío; aunt; the sister of either parent
tía 	 noun 	 woman 	 woman, chick
tía 	 noun 	 chick 	 woman, chick
webinar 	 noun 	 English 	 webinar
indicator 	 noun 	 honeyguide 	 honeyguide
filo 	 noun 	 cutting edge 	 edge, cutting edge
filo 	 noun 	 edge 	 edge, cutting edge
filo 	 noun 	 edge 	 edge
filo 	 noun 	 hunger 	 hunger
filo 	 noun 	 fold 	 fold
filo 	 interjection 	 whatever 	 whatever, I don't care
filo 	 noun 	 phylum 	 phylum
ídolo 	 noun 	 idol 	 idol
snowboard 	 noun 	 snowboarding 	 snowboarding
preocuparse 	 verb 	 worried 	 to worry or get worried
preocuparse 	 verb 	 worry 	 to worry or get worried
freelance 	 noun 	 freelancer 	 freelancer
polar 	 adjective 	 English 	 polar
peruviano 	 adjective 	 Peruvian 	 Peruvian
peruviano 	 adjective 	 Peruvian 	 Peruvian
peruviano 	 noun 	 Peruvian 	 a Peruvian
abajo 	 adverb 	 down 	 down
abajo 	 adverb 	 downstairs 	 downstairs
abajo 	 adverb 	 below 	 below
abajo 	 interjection 	 down with 	 down with, away with
tinta 	 noun 	 ink 	 ink
serie 	 noun 	 series 	 series
serie 	 noun 	 w:Horacio Quiroga 	 * year=2008|author=Horacio Quiroga |title=Cuentos de la selva para los niños|passage=el animal adquiera una serie de características y hábitos humanizados|translation=the animal acquires a series of humanized characteristics and habits
serie 	 noun 	 series 	 series
serie 	 noun 	 series 	 series
serie 	 noun 	 set 	 set
indisputable 	 adjective 	 indisputableEnglish 	 indisputable
monto 	 noun 	 amount 	 amount
paco 	 adjective 	 reddish 	 reddish
paco 	 adjective 	 llama 	 llama
paco 	 noun 	 police officer 	 police officer
paco 	 noun 	 sniper 	 During Spanish occupation in Africa, a Moroccan sniper
paco 	 noun 	 llama 	 llama
paco 	 noun 	 pacaEnglish 	 male paca
paco 	 noun 	 police officer 	 police officer
paco 	 noun 	 sniper 	 During Spanish occupation in Africa, a Moroccan sniper
paco 	 noun 	 raticide 	 A cheap drug made from cocaine paste mixed with raticide, caffeine and other chemicals
paco 	 noun 	 caffeine 	 A cheap drug made from cocaine paste mixed with raticide, caffeine and other chemicals
paco 	 noun 	 cocaine 	 A cheap drug made from cocaine paste mixed with raticide, caffeine and other chemicals
lentes 	 noun 	 eyeglasses 	 eyeglasses
tela 	 noun 	 fabric 	 cloth, fabric
tela 	 noun 	 cloth 	 cloth, fabric
tela 	 noun 	 task 	 difficult task
tela 	 noun 	 dosh 	 cash, dosh
tela 	 noun 	 cash 	 cash, dosh
tela 	 adverb 	 extremely 	 loads; lots; a shedload; extremely
tela 	 adverb 	 shedload 	 loads; lots; a shedload; extremely
tela 	 adverb 	 loads 	 loads; lots; a shedload; extremely
tela 	 adverb 	 lots 	 loads; lots; a shedload; extremely
montaña 	 noun 	 mountain 	 mountain
verano 	 noun 	 summer 	 summer
niño 	 noun 	 child 	 child; boy, girl
niño 	 noun 	 boy 	 child; boy, girl
niño 	 noun 	 girl 	 child; boy, girl
recluta 	 noun 	 recruitment 	 recruitment
recluta 	 noun 	 recruit 	 recruit
celo 	 noun 	 zeal 	 zeal
celo 	 noun 	 heat 	 heat
celo 	 noun 	 sellotape 	 sellotape
cacique 	 noun 	 person 	 powerful person, fat cat
cacique 	 noun 	 powerful 	 powerful person, fat cat
cifra 	 noun 	 digit 	 digit
cifra 	 noun 	 number 	 number
cifra 	 noun 	 amount 	 amount
cifra 	 noun 	 code 	 cipher; code
cifra 	 noun 	 cipher 	 cipher; code
garrafa 	 noun 	 carafe 	 carafe
posta 	 interjection 	 truth 	 really, truth
posta 	 interjection 	 really 	 really, truth
posta 	 noun 	 slug 	 slug
posta 	 noun 	 courier 	 courier
diario 	 adjective 	 daily 	 daily
diario 	 noun 	 journal 	 diary, journal
diario 	 noun 	 diary 	 diary, journal
diario 	 noun 	 daily 	 daily
bullying 	 noun 	 English 	 bullying
jogging 	 noun 	 running 	 running, jogging
jogging 	 noun 	 jogging 	 running, jogging
sus 	 adjective 	 its 	 su; one's, his, her, its, their
sus 	 adjective 	 one's 	 su; one's, his, her, its, their
sus 	 adjective 	 their 	 su; one's, his, her, its, their
sus 	 adjective 	 his 	 su; one's, his, her, its, their
sus 	 adjective 	 her 	 su; one's, his, her, its, their
sus 	 adjective 	 your 	 Your
anguila 	 noun 	 eel 	 eel
prestar 	 verb 	 lend 	 to lend
prestar 	 verb 	 give 	 to give, pay
prestar 	 verb 	 pay 	 to give, pay
prestar 	 verb 	 take 	 to take
laca 	 noun 	 lacquer 	 lacquer
laca 	 noun 	 hair spray 	 hair spray
parce 	 noun 	 loyal 	 friend, loyal friend
parce 	 noun 	 friend 	 friend, loyal friend
parce 	 noun 	 Colombian 	 a Colombian person
temblor 	 noun 	 tremor 	 tremor
temblor 	 noun 	 trembling 	 tremble, trembling, shaking, quivering
temblor 	 noun 	 tremble 	 tremble, trembling, shaking, quivering
temblor 	 noun 	 quivering 	 tremble, trembling, shaking, quivering
temblor 	 noun 	 shaking 	 tremble, trembling, shaking, quivering
temblor 	 noun 	 quake 	 tremor, earthquake, quake, temblor usually a light one
temblor 	 noun 	 earthquake 	 tremor, earthquake, quake, temblor usually a light one
temblor 	 noun 	 tremor 	 tremor, earthquake, quake, temblor usually a light one
hispano 	 adjective 	 Spanish 	 Spanish
hispano 	 adjective 	 Hispano-American 	 Hispano-American
hispano 	 adjective 	 Hispano-American 	 Spanish or Hispano-American and living in the United States
hispano 	 adjective 	 Spanish 	 Spanish or Hispano-American and living in the United States
cara 	 noun 	 face 	 face
cara 	 noun 	 face 	 face
cara 	 noun 	 face 	 face
cara 	 noun 	 gall 	 gall, nerve
cara 	 noun 	 nerve 	 gall, nerve
cara 	 noun 	 face 	 face
cara 	 noun 	 side 	 side
cara 	 noun 	 heads 	 heads
neuritis 	 noun 	 English 	 neuritis
alcanzar 	 verb 	 attain 	 to reach; to attain or achieve
alcanzar 	 verb 	 achieve 	 to reach; to attain or achieve
alcanzar 	 verb 	 reach 	 to reach; to attain or achieve
alcanzar 	 verb 	 suffice 	 to be enough; to suffice
alcanzar 	 verb 	 enough 	 to be enough; to suffice
baguette 	 noun 	 baguette 	 baguette, French bread
baguette 	 noun 	 French bread 	 baguette, French bread
página 	 noun 	 page 	 page
chardonnay 	 noun 	 Chardonnay 	 Chardonnay
tope 	 noun 	 butt 	 butt, end, butt end
tope 	 noun 	 end 	 butt, end, butt end
tope 	 noun 	 limit 	 top, limit
tope 	 noun 	 top 	 top, limit
tope 	 noun 	 stop 	 stop, catch, snag also figuratively
tope 	 noun 	 snag 	 stop, catch, snag also figuratively
tope 	 noun 	 catch 	 stop, catch, snag also figuratively
tope 	 noun 	 collision 	 collision
tope 	 noun 	 fight 	 quarrel, fight
tope 	 noun 	 quarrel 	 quarrel, fight
tope 	 noun 	 reinforcement 	 reinforcement
tope 	 noun 	 buffer 	 railway buffer, bumper
tope 	 noun 	 bumper 	 railway buffer, bumper
tope 	 noun 	 masthead 	 masthead, lookout
tope 	 noun 	 lookout 	 masthead, lookout
tope 	 noun 	 speed bump 	 speed bump
tope 	 noun 	 parade 	 equestrian parade usually held on the first day of a festival
tope 	 noun 	 equestrian 	 equestrian parade usually held on the first day of a festival
tope 	 adverb 	 really 	 really
elemental 	 adjective 	 English 	 elemental
recordman 	 noun 	 record 	 record holder
recordman 	 noun 	 holder 	 record holder
nivel 	 noun 	 height 	 level, tier, height
nivel 	 noun 	 level 	 level, tier, height
nivel 	 noun 	 tier 	 level, tier, height
nivel 	 noun 	 level 	 level, standard
nivel 	 noun 	 standard 	 level, standard
nivel 	 noun 	 level 	 level
bastar 	 verb 	 suffice 	 to be enough; to suffice
panty 	 noun 	 pantyhose 	 pantyhose
delfín 	 noun 	 dolphin 	 dolphin
delfín 	 noun 	 dauphin 	 dauphin
delfín 	 noun 	 successor 	 successor
paulistano 	 noun 	 Brazil 	 Paulistano, someone born in, or an inhabitant of, the municipality of São Paulo, Brazil
paulistano 	 noun 	 Paulistano 	 Paulistano, someone born in, or an inhabitant of, the municipality of São Paulo, Brazil
paulistano 	 noun 	 São Paulo 	 Paulistano, someone born in, or an inhabitant of, the municipality of São Paulo, Brazil
paulistano 	 noun 	 municipality 	 Paulistano, someone born in, or an inhabitant of, the municipality of São Paulo, Brazil
paulistano 	 adjective 	 Paulistano 	 Paulistano
carioca 	 noun 	 Carioca 	 Carioca , Brazil
pluot 	 noun 	 pluot 	 pluot
detente 	 noun 	 talisman 	 An amulet or talisman carried for protection against harm
detente 	 noun 	 amulet 	 An amulet or talisman carried for protection against harm
detente 	 noun 	 détente 	 détente
ancho 	 adjective 	 wide 	 wide; broad
ancho 	 adjective 	 broad 	 wide; broad
ancho 	 adjective 	 proud 	 proud
ancho 	 noun 	 width 	 width, breadth
ancho 	 noun 	 breadth 	 width, breadth
grama 	 noun 	 grass 	 grass
grama 	 noun 	 lawn 	 lawn
mantel 	 noun 	 tablecloth 	 tablecloth
chaque 	 noun 	 Arequipa 	 A dish from Arequipa, Peru, consisting of beef or lamb served with various vegetables
chaque 	 noun 	 dish 	 A dish from Arequipa, Peru, consisting of beef or lamb served with various vegetables
puré 	 noun 	 puree 	 puree
puré 	 noun 	 mash 	 mash
memorable 	 adjective 	 English 	 memorable
trimestre 	 noun 	 trimester 	 trimester
peristalsis 	 noun 	 English 	 peristalsis
indispensable 	 adjective 	 indispensableEnglish 	 indispensable
chucha 	 noun 	 vagina 	 cunt, vagina
chucha 	 noun 	 cunt 	 cunt, vagina
chucha 	 noun 	 body odor 	 body odor
chucha 	 noun 	 dog 	 female dog
chucha 	 noun 	 female 	 female dog
chucha 	 noun 	 opossum 	 opossum
chucha 	 interjection 	 fuck 	 fuck!
perla 	 noun 	 pearl 	 pearl
perla 	 noun 	 bead 	 bead
perla 	 noun 	 pall 	 pall
perla 	 noun 	 size 	 a small size of type, standardized as 4 or 5 point
perla 	 noun 	 point 	 a small size of type, standardized as 4 or 5 point
perla 	 noun 	 standardize 	 a small size of type, standardized as 4 or 5 point
perla 	 noun 	 type 	 a small size of type, standardized as 4 or 5 point
perla 	 noun 	 small 	 a small size of type, standardized as 4 or 5 point
foto 	 noun 	 photo 	 photo, photograph
foto 	 noun 	 photograph 	 photo, photograph
mamut 	 noun 	 mammoth 	 mammoth
aficionado 	 adjective 	 fond 	 fond
aficionado 	 adjective 	 amateur 	 amateur
aficionado 	 noun 	 fan 	 fan, hobbyist, aficionado
aficionado 	 noun 	 hobbyist 	 fan, hobbyist, aficionado
aficionado 	 noun 	 amateur 	 amateur
demanda 	 noun 	 demand 	 demand
demanda 	 noun 	 complaint 	 formal complaint
cama 	 noun 	 bed 	 bed
djinn 	 noun 	 jinn 	 jinn, genie
djinn 	 noun 	 genie 	 jinn, genie
leva 	 noun 	 draft 	 draft
leva 	 noun 	 cog 	 cog
leva 	 noun 	 cam 	 cam
actitud 	 noun 	 posture 	 posture, pose, stance
actitud 	 noun 	 stance 	 posture, pose, stance
actitud 	 noun 	 pose 	 posture, pose, stance
actitud 	 noun 	 policy 	 attitude, disposition, policy
actitud 	 noun 	 disposition 	 attitude, disposition, policy
actitud 	 noun 	 attitude 	 attitude, disposition, policy
agradable 	 adjective 	 pleasant 	 agreeable, pleasant
agradable 	 adjective 	 agreeable 	 agreeable, pleasant
metra 	 noun 	 marble 	 marble
aspecto 	 noun 	 appearance 	 appearance, look
aspecto 	 noun 	 look 	 appearance, look
aspecto 	 noun 	 aspect 	 aspect
nabo 	 noun 	 turnip 	 turnip
nabo 	 noun 	 swede 	 swede
nabo 	 noun 	 rape 	 rape
nabo 	 noun 	 root 	 any thick root
nabo 	 noun 	 mast 	 mast
nabo 	 noun 	 heart 	 heart
nabo 	 noun 	 penis 	 penis
maya 	 adjective 	 Mayan 	 Mayan
maya 	 noun 	 Mayan 	 Mayan
maya 	 noun 	 Mayan 	 Mayan
ictus 	 noun 	 ictus 	 stroke, ictus
ictus 	 noun 	 stroke 	 stroke, ictus
arteria 	 noun 	 artery 	 artery
gen 	 noun 	 gene 	 gene
lao 	 adjective 	 Lao 	 Lao
lao 	 adjective 	 Lao 	 Lao
lao 	 adjective 	 Lao 	 Lao
lao 	 noun 	 Lao 	 Lao
nata 	 noun 	 cream 	 cream
nata 	 noun 	 skin 	 skin
nata 	 noun 	 elite 	 elite
nata 	 noun 	 custard 	 whipped cream; custard
nata 	 noun 	 whipped cream 	 whipped cream; custard
leve 	 adjective 	 light 	 mild, slight, light
leve 	 adjective 	 slight 	 mild, slight, light
leve 	 adjective 	 mild 	 mild, slight, light
leve 	 adjective 	 trivial 	 minor, trivial
leve 	 adjective 	 minor 	 minor, trivial
egeo 	 adjective 	 Aegean 	 Aegean
caudal 	 noun 	 flow 	 flow
caudal 	 noun 	 volume 	 volume
caudal 	 noun 	 funds 	 funds
morder 	 verb 	 nip 	 to bite, to nip
morder 	 verb 	 bite 	 to bite, to nip
morder 	 verb 	 gnaw 	 to gnaw
morder 	 verb 	 clutch 	 to grasp, to clutch
morder 	 verb 	 grasp 	 to grasp, to clutch
morder 	 verb 	 wear 	 to wear away, to wear down
morder 	 verb 	 corrode 	 to corrode
morder 	 verb 	 run down 	 to criticize, to run down, to gossip about, to find fault with
morder 	 verb 	 gossip 	 to criticize, to run down, to gossip about, to find fault with
morder 	 verb 	 criticize 	 to criticize, to run down, to gossip about, to find fault with
básico 	 adjective 	 basic 	 basic
básico 	 adjective 	 basic 	 basic
aula 	 noun 	 classroom 	 classroom
fugaz 	 adjective 	 fleeting 	 fleeting
estrella 	 noun 	 star 	 star
estrella 	 noun 	 star 	 star
estrella 	 noun 	 star 	 star
estrella 	 noun 	 star 	 mullet, star
estrella 	 noun 	 mullet 	 mullet, star
quia 	 interjection 	 incredulity 	 Denotes incredulity
semestre 	 noun 	 semester 	 semester
custodia 	 noun 	 custody 	 custody
custodia 	 noun 	 safekeeping 	 safekeeping
custodia 	 noun 	 monstrance 	 monstrance
charlar 	 verb 	 chat 	 to chat
comprender 	 verb 	 understand 	 to understand, to comprehend
comprender 	 verb 	 comprehend 	 to understand, to comprehend
pichón 	 noun 	 dove 	 young pigeon or dove
pichón 	 noun 	 pigeon 	 young pigeon or dove
pichón 	 noun 	 squab 	 squab
pichón 	 noun 	 fella 	 guy, fellow, fella
pichón 	 noun 	 fellow 	 guy, fellow, fella
pichón 	 noun 	 guy 	 guy, fellow, fella
palomar 	 noun 	 dovecot 	 dovecot, dovecote
palomar 	 noun 	 dovecote 	 dovecot, dovecote
infernal 	 adjective 	 hellish 	 infernal, hellish
infernal 	 adjective 	 hellish 	 infernal, hellish
infernal 	 adjective 	 hellish 	 infernal, hellish, hellacious, hell of
infernal 	 adjective 	 hellacious 	 infernal, hellish, hellacious, hell of
cofactor 	 noun 	 English 	 cofactor
ductal 	 adjective 	 ductal 	 ductal
curro 	 adjective 	 handsome 	 handsome, good looking
curro 	 adjective 	 good looking 	 handsome, good looking
curro 	 noun 	 work 	 work
curro 	 noun 	 Andalusian 	 Andalusian immigrant living in America
curro 	 noun 	 fraud 	 fraud, rip-off, scam
curro 	 noun 	 scam 	 fraud, rip-off, scam
curro 	 noun 	 rip-off 	 fraud, rip-off, scam
carácter 	 noun 	 character 	 character
carácter 	 noun 	 character 	 character
carácter 	 noun 	 character 	 character
parola 	 noun 	 verbosity 	 verbosity, verbiage
parola 	 noun 	 verbiage 	 verbosity, verbiage
parola 	 noun 	 spiel 	 spiel
manar 	 verb 	 gush 	 to gush forth
manar 	 verb 	 flow 	 to flow
manar 	 verb 	 abound 	 to abound
asa 	 noun 	 handle 	 handle of a vessel or container
malayalam 	 noun 	 Malayalam 	 Malayalam
madrugada 	 noun 	 dawn 	 dawn
pedido 	 noun 	 order 	 order
pedido 	 noun 	 purchase 	 bulk purchase
pedido 	 noun 	 bulk 	 bulk purchase
captura 	 noun 	 capture 	 capture
captura 	 noun 	 catch 	 catch
colaborador 	 noun 	 collaborator 	 collaborator
tratado 	 noun 	 treaty 	 treaty
despedida 	 noun 	 farewell 	 farewell
despedida 	 noun 	 farewell 	 farewell party
despedida 	 noun 	 party 	 farewell party
prensa 	 noun 	 press 	 press
prensa 	 noun 	 press 	 press
mandatario 	 noun 	 head of state 	 head of state
avión 	 noun 	 aeroplane 	 aeroplane, airplane, plane
avión 	 noun 	 plane 	 aeroplane, airplane, plane
avión 	 noun 	 airplane 	 aeroplane, airplane, plane
avión 	 noun 	 swallow 	 martin, swallow
avión 	 noun 	 martin 	 martin, swallow
llegada 	 noun 	 arrival 	 arrival
presidencia 	 noun 	 presidency 	 presidency
barrio 	 noun 	 neighbourhood 	 neighbourhood
barrio 	 noun 	 slum 	 slum
oriente 	 noun 	 east 	 east
arresto 	 noun 	 arrest 	 arrest
arresto 	 noun 	 boldness 	 boldness
investigación 	 noun 	 research 	 research
investigación 	 noun 	 investigation 	 investigation
chequeo 	 noun 	 check 	 check
chequeo 	 noun 	 check-up 	 examination; check-up
chequeo 	 noun 	 examination 	 examination; check-up
chequeo 	 noun 	 checkpoint 	 checkpoint
viaje 	 noun 	 journey 	 voyage, journey, trip
viaje 	 noun 	 voyage 	 voyage, journey, trip
viaje 	 noun 	 trip 	 voyage, journey, trip
decisión 	 noun 	 decision 	 decision
retorno 	 noun 	 return 	 return
exilio 	 noun 	 exile 	 exile
compromiso 	 noun 	 commitment 	 commitment
compromiso 	 noun 	 compromise 	 compromise
compromiso 	 noun 	 predicament 	 predicament
compatriota 	 noun 	 compatriot 	 compatriot
seguidor 	 noun 	 follower 	 follower
seguidor 	 noun 	 fan 	 fan, supporter
seguidor 	 noun 	 supporter 	 fan, supporter
manifestación 	 noun 	 protest 	 demonstration, protest
manifestación 	 noun 	 demonstration 	 demonstration, protest
manifestación 	 noun 	 manifestation 	 manifestation
concentración 	 noun 	 concentration 	 concentration all senses
